0 1 523.01
0 2 526.94
0 3 522.04
0 4 522.42
0 5 517.61
0 6 517.70
0 7 516.33
0 8 516.94
0 9 518.04
0 10 515.25
0 11 515.47
0 12 516.14
0 13 514.78
0 14 517.38
0 15 520.81
0 16 513.16
0 17 513.62
0 18 516.37
0 19 513.48
0 20 513.64
0 21 516.45
0 22 517.45
0 23 515.49
0 24 519.59
0 25 517.01
0 26 528.90


1 1 516.79
1 2 493.65
1 3 390.09
1 4 265.21
1 5 202.93
1 6 265.34
1 7 157.93
1 8 149.59
1 9 173.73
1 10 138.23
1 11 148.59
1 12 164.98
1 13 91.57
1 14 75.68
1 15 94.79
1 16 66.73
1 17 107.95
1 18 113.22
1 19 99.56
1 20 82.16
1 21 92.18
1 22 81.87
1 23 78.64
1 24 68.44
1 25 78.17
1 26 68.50


2 1 514.92
2 2 350.82
2 3 111.43
2 4 68.43
2 5 63.03
2 6 63.05
2 7 32.98
2 8 23.82
2 9 31.13
2 10 22.07
2 11 22.33
2 12 17.26
2 13 16.50
2 14 19.00
2 15 14.35
2 16 15.42
2 17 13.82
2 18 16.82
2 19 14.21
2 20 13.56
2 21 15.78
2 22 14.41
2 23 13.99
2 24 13.36
2 25 14.42
2 26 12.74


3 1 520.22
3 2 256.68
3 3 58.20
3 4 32.11
3 5 25.09
3 6 21.12
3 7 15.93
3 8 13.77
3 9 12.99
3 10 12.60
3 11 13.76
3 12 11.28
3 13 12.25
3 14 12.90
3 15 11.28
3 16 11.29
3 17 11.19
3 18 11.22
3 19 10.51
3 20 11.01
3 21 10.90
3 22 11.01
3 23 10.87
3 24 10.81
3 25 11.11
3 26 11.14


4 1 517.48
4 2 130.15
4 3 25.87
4 4 16.62
4 5 16.99
4 6 12.18
4 7 11.98
4 8 11.19
4 9 11.31
4 10 11.17
4 11 11.42
4 12 11.48
4 13 11.75
4 14 11.28
4 15 11.87
4 16 10.91
4 17 11.40
4 18 11.49
4 19 10.87
4 20 11.20
4 21 11.23
4 22 11.66
4 23 10.73
4 24 10.92
4 25 11.12
4 26 11.48


5 1 517.56
5 2 67.58
5 3  6.57
5 4  3.73
5 5  2.07
5 6  2.54
5 7  1.56
5 8  1.39
5 9  1.06
5 10  1.12
5 11  1.35
5 12  1.28
5 13  0.81
5 14  0.67
5 15  1.15
5 16  0.82
5 17  0.85
5 18  0.84
5 19  0.74
5 20  0.85
5 21  0.93
5 22  1.07
5 23  0.85
5 24  0.82
5 25  0.87
5 26  0.80


6 1 517.07
6 2 42.12
6 3  2.16
6 4  1.02
6 5  1.33
6 6  0.59
6 7  0.61
6 8  0.60
6 9  0.62
6 10  0.58
6 11  0.40
6 12  0.41
6 13  0.59
6 14  0.40
6 15  0.38
6 16  0.46
6 17  0.40
6 18  0.60
6 19  0.43
6 20  0.45
6 21  0.42
6 22  0.41
6 23  0.36
6 24  0.45
6 25  0.59
6 26  0.38


7 1 515.52
7 2 15.03
7 3  1.50
7 4  0.65
7 5  0.41
7 6  0.29
7 7  0.26
7 8  0.51
7 9  0.52
7 10  0.36
7 11  0.54
7 12  0.31
7 13  0.53
7 14  0.52
7 15  0.30
7 16  0.27
7 17  0.28
7 18  0.30
7 19  0.30
7 20  0.34
7 21  0.28
7 22  0.28
7 23  0.30
7 24  0.52
7 25  0.33
7 26  0.32


8 1 517.36
8 2  8.35
8 3  0.71
8 4  0.30
8 5  0.20
8 6  0.54
8 7  0.29
8 8  0.30
8 9  0.31
8 10  0.30
8 11  0.32
8 12  0.35
8 13  0.31
8 14  0.31
8 15  0.30
8 16  0.31
8 17  0.32
8 18  0.53
8 19  0.31
8 20  0.57
8 21  0.52
8 22  0.31
8 23  0.52
8 24  0.55
8 25  0.30
8 26  0.54


9 1 522.94
9 2  4.33
9 3  0.37
9 4  0.28
9 5  0.29
9 6  0.32
9 7  0.31
9 8  0.28
9 9  0.33
9 10  0.30
9 11  0.49
9 12  0.37
9 13  0.30
9 14  0.51
9 15  0.54
9 16  0.29
9 17  0.32
9 18  0.34
9 19  0.55
9 20  0.35
9 21  0.33
9 22  0.29
9 23  0.30
9 24  0.34
9 25  0.33
9 26  0.35


