0 1 20260.94
0 2 20438.74
0 3 20241.73
0 4 20604.28
0 5 20293.75
0 6 20196.63
0 7 20648.45
0 8 20100.76
0 9 20259.10
0 10 20519.57
0 11 20099.15
0 12 20513.44
0 13 20340.70
0 14 20518.97
0 15 20353.35
0 16 20162.55
0 17 20503.31
0 18 20927.65
0 19 20866.21
0 20 20422.93
0 21 20432.31
0 22 20275.09
0 23 20665.18
0 24 20419.68
0 25 21163.77
0 26 20144.40


1 1 20439.90
1 2 16927.98
1 3 13114.23
1 4 10325.87
1 5 10179.14
1 6 8011.80
1 7 6750.89
1 8 6871.17
1 9 5994.88
1 10 6267.17
1 11 5345.63
1 12 5009.04
1 13 3614.01
1 14 3598.36
1 15 2831.57
1 16 2577.24
1 17 3041.39
1 18 2806.80
1 19 1803.31
1 20 2156.31
1 21 2452.14
1 22 2562.22
1 23 1893.04
1 24 2168.71
1 25 1928.70
1 26 2039.61


2 1 20838.33
2 2 8652.32
2 3 6381.59
2 4 3221.03
2 5 1958.88
2 6 1812.09
2 7 859.81
2 8 651.44
2 9 654.07
2 10 524.57
2 11 555.30
2 12 370.36
2 13 279.17
2 14 221.92
2 15 118.89
2 16 122.13
2 17 133.37
2 18 115.75
2 19 86.56
2 20 77.75
2 21 103.02
2 22 68.25
2 23 65.59
2 24 65.42
2 25 69.65
2 26 69.86


3 1 20485.11
3 2 6372.53
3 3 2514.75
3 4 1083.16
3 5 514.35
3 6 373.94
3 7 175.11
3 8 120.66
3 9 90.24
3 10 68.21
3 11 61.73
3 12 58.88
3 13 29.61
3 14 22.60
3 15 14.72
3 16 15.98
3 17 14.89
3 18 15.48
3 19 10.40
3 20 10.68
3 21  8.98
3 22  9.86
3 23  8.40
3 24 10.65
3 25  7.89
3 26  7.44


4 1 19934.38
4 2 3820.73
4 3 966.81
4 4 268.60
4 5 98.58
4 6 72.07
4 7 26.98
4 8 18.21
4 9 17.75
4 10 12.09
4 11 11.43
4 12  9.03
4 13  7.32
4 14  6.34
4 15  5.57
4 16  4.90
4 17  5.08
4 18  5.83
4 19  5.21
4 20  5.23
4 21  5.40
4 22  4.89
4 23  4.94
4 24  4.84
4 25  4.91
4 26  4.77


5 1 20442.14
5 2 2462.12
5 3 326.81
5 4 66.87
5 5 22.65
5 6 13.70
5 7  3.61
5 8  1.98
5 9  2.45
5 10  1.29
5 11  1.07
5 12  0.80
5 13  0.96
5 14  0.73
5 15  0.96
5 16  0.53
5 17  0.76
5 18  0.56
5 19  0.48
5 20  0.50
5 21  0.59
5 22  0.69
5 23  0.74
5 24  0.62
5 25  0.78
5 26  0.84


6 1 20114.96
6 2 1290.55
6 3 98.73
6 4 17.97
6 5  4.56
6 6  2.13
6 7  0.97
6 8  0.67
6 9  0.62
6 10  0.45
6 11  0.47
6 12  0.40
6 13  0.42
6 14  0.36
6 15  0.40
6 16  0.38
6 17  0.63
6 18  0.46
6 19  0.39
6 20  0.43
6 21  0.65
6 22  0.62
6 23  0.42
6 24  0.49
6 25  0.80
6 26  0.49


7 1 20865.13
7 2 654.89
7 3 29.39
7 4  4.80
7 5  2.38
7 6  0.71
7 7  0.46
7 8  0.40
7 9  0.60
7 10  0.39
7 11  0.40
7 12  0.40
7 13  0.37
7 14  0.35
7 15  0.40
7 16  0.38
7 17  0.62
7 18  0.41
7 19  0.83
7 20  0.40
7 21  0.67
7 22  0.47
7 23  0.48
7 24  0.45
7 25  0.51
7 26  0.41


8 1 20434.04
8 2 141.56
8 3 12.54
8 4  1.93
8 5  0.79
8 6  0.70
8 7  0.41
8 8  0.40
8 9  0.79
8 10  0.43
8 11  0.43
8 12  0.38
8 13  0.58
8 14  0.37
8 15  0.86
8 16  0.39
8 17  0.41
8 18  0.43
8 19  0.38
8 20  0.82
8 21  0.50
8 22  0.36
8 23  0.45
8 24  0.45
8 25  0.41
8 26  0.58


9 1 20271.04
9 2 85.57
9 3  4.62
9 4  1.75
9 5  0.58
9 6  0.59
9 7  0.42
9 8  0.40
9 9  0.59
9 10  0.58
9 11  0.43
9 12  0.44
9 13  0.81
9 14  0.77
9 15  0.62
9 16  0.27
9 17  0.41
9 18  0.56
9 19  0.58
9 20  0.47
9 21  0.39
9 22  0.70
9 23  0.42
9 24  0.44
9 25  0.41
9 26  0.62


