0 1 6733.48
0 2 6861.33
0 3 6806.84
0 4 6683.18
0 5 7268.36
0 6 6438.29
0 7 6548.80
0 8 6567.51
0 9 6649.67
0 10 6713.80
0 11 6896.42
0 12 6766.94
0 13 6737.67
0 14 6794.10
0 15 6707.06
0 16 6984.70
0 17 6714.23
0 18 6780.77
0 19 6716.03
0 20 6797.62
0 21 6788.21
0 22 6645.31
0 23 6505.72
0 24 6610.20
0 25 6866.47
0 26 6445.59


1 1 6700.66
1 2 6393.32
1 3 3295.42
1 4 4356.93
1 5 3934.91
1 6 2598.25
1 7 2238.54
1 8 1403.07
1 9 1359.26
1 10 1867.26
1 11 1843.34
1 12 1661.48
1 13 992.45
1 14 1020.49
1 15 1134.67
1 16 1085.37
1 17 1070.16
1 18 961.52
1 19 886.71
1 20 947.20
1 21 1056.56
1 22 912.17
1 23 597.45
1 24 688.73
1 25 696.37
1 26 637.00


2 1 6926.29
2 2 4673.89
2 3 2014.59
2 4 1198.87
2 5 728.04
2 6 534.80
2 7 374.90
2 8 300.67
2 9 235.87
2 10 274.47
2 11 238.91
2 12 168.85
2 13 142.33
2 14 112.29
2 15 109.57
2 16 108.77
2 17 129.06
2 18 99.41
2 19 99.66
2 20 87.38
2 21 103.49
2 22 80.93
2 23 65.80
2 24 71.13
2 25 71.15
2 26 85.96


3 1 6622.23
3 2 3352.91
3 3 825.52
3 4 435.07
3 5 258.11
3 6 206.02
3 7 111.50
3 8 93.50
3 9 82.41
3 10 89.85
3 11 77.76
3 12 72.33
3 13 74.82
3 14 65.11
3 15 58.51
3 16 52.26
3 17 59.74
3 18 58.60
3 19 56.74
3 20 60.02
3 21 61.40
3 22 56.98
3 23 53.01
3 24 58.38
3 25 58.80
3 26 58.64


4 1 6811.77
4 2 1378.12
4 3 321.62
4 4 138.02
4 5 97.02
4 6 62.30
4 7 49.47
4 8 45.68
4 9 48.35
4 10 49.79
4 11 50.12
4 12 53.24
4 13 50.67
4 14 47.03
4 15 48.51
4 16 44.08
4 17 51.22
4 18 50.48
4 19 49.34
4 20 49.82
4 21 48.57
4 22 48.33
4 23 46.48
4 24 46.87
4 25 51.72
4 26 48.45


5 1 6520.17
5 2 703.01
5 3 99.00
5 4 25.08
5 5 19.59
5 6 12.39
5 7  8.42
5 8  6.07
5 9  6.76
5 10  4.06
5 11  4.22
5 12  4.40
5 13  4.20
5 14  2.23
5 15  1.87
5 16  2.88
5 17  3.23
5 18  3.69
5 19  1.24
5 20  2.33
5 21  2.54
5 22  1.13
5 23  1.10
5 24  1.41
5 25  2.35
5 26  0.68


6 1 6514.48
6 2 440.95
6 3 22.44
6 4  4.71
6 5  2.49
6 6  1.64
6 7  1.18
6 8  1.17
6 9  1.02
6 10  0.95
6 11  0.58
6 12  0.56
6 13  0.76
6 14  0.38
6 15  0.37
6 16  0.50
6 17  0.40
6 18  0.40
6 19  0.40
6 20  0.51
6 21  0.79
6 22  0.60
6 23  0.51
6 24  0.46
6 25  0.58
6 26  0.44


7 1 6627.36
7 2 130.46
7 3 12.46
7 4  3.00
7 5  1.79
7 6  0.96
7 7  0.77
7 8  0.57
7 9  0.46
7 10  0.42
7 11  0.54
7 12  0.35
7 13  0.41
7 14  0.41
7 15  0.36
7 16  0.37
7 17  0.58
7 18  0.38
7 19  0.40
7 20  0.35
7 21  0.42
7 22  0.39
7 23  0.38
7 24  0.34
7 25  0.58
7 26  0.45


8 1 6532.74
8 2 64.00
8 3  7.36
8 4  2.28
8 5  1.21
8 6  0.75
8 7  0.80
8 8  0.52
8 9  0.45
8 10  0.42
8 11  0.48
8 12  0.35
8 13  0.38
8 14  0.60
8 15  0.38
8 16  0.35
8 17  0.78
8 18  0.59
8 19  0.41
8 20  0.60
8 21  0.78
8 22  0.61
8 23  0.40
8 24  0.78
8 25  0.36
8 26  0.40


9 1 6440.45
9 2 41.26
9 3  7.69
9 4  2.01
9 5  1.15
9 6  0.93
9 7  0.71
9 8  0.55
9 9  0.42
9 10  0.46
9 11  0.52
9 12  0.41
9 13  0.43
9 14  0.58
9 15  0.56
9 16  0.37
9 17  0.40
9 18  0.36
9 19  0.40
9 20  0.41
9 21  0.41
9 22  0.41
9 23  0.43
9 24  0.60
9 25  0.78
9 26  0.55


