0 1  2.46
0 2  2.46
0 3  2.47
0 4  2.47
0 5  2.47
0 6  2.47
0 7  2.48
0 8  2.47
0 9  2.47
0 10  2.49
0 11  2.47
0 12  2.46
0 13  2.46
0 14  2.46
0 15  2.47
0 16  2.47
0 17  2.47
0 18  2.47
0 19  2.46
0 20  2.47
0 21  2.47
0 22  2.47
0 23  2.47
0 24  2.49
0 25  2.47
0 26  2.46
1 1  2.49
1 2  2.49
1 3  2.49
1 4  2.51
1 5  2.51
1 6  2.48
1 7  2.49
1 8  2.48
1 9  2.50
1 10  2.49
1 11  2.48
1 12  2.50
1 13  2.50
1 14  2.50
1 15  2.49
1 16  2.50
1 17  2.53
1 18  2.50
1 19  2.49
1 20  2.49
1 21  2.49
1 22  2.49
1 23  2.49
1 24  2.49
1 25  2.49
1 26  2.49
2 1  2.51
2 2  2.50
2 3  2.51
2 4  2.51
2 5  2.51
2 6  2.51
2 7  2.54
2 8  2.51
2 9  2.51
2 10  2.51
2 11  2.52
2 12  2.51
2 13  2.51
2 14  2.51
2 15  2.51
2 16  2.54
2 17  2.51
2 18  2.51
2 19  2.51
2 20  2.51
2 21  2.53
2 22  2.52
2 23  2.52
2 24  2.52
2 25  2.51
2 26  2.51
3 1  2.54
3 2  2.54
3 3  2.53
3 4  2.54
3 5  2.57
3 6  2.56
3 7  2.55
3 8  2.55
3 9  2.56
3 10  2.54
3 11  2.54
3 12  2.54
3 13  2.54
3 14  2.54
3 15  2.54
3 16  2.53
3 17  2.55
3 18  2.54
3 19  2.54
3 20  2.54
3 21  2.54
3 22  2.55
3 23  2.54
3 24  2.53
3 25  2.55
3 26  2.54
4 1  2.56
4 2  2.57
4 3  2.55
4 4  2.55
4 5  2.56
4 6  2.55
4 7  2.56
4 8  2.56
4 9  2.60
4 10  2.57
4 11  2.55
4 12  2.56
4 13  2.56
4 14  2.56
4 15  2.55
4 16  2.57
4 17  2.56
4 18  2.56
4 19  2.57
4 20  2.56
4 21  2.56
4 22  2.57
4 23  2.57
4 24  2.55
4 25  2.56
4 26  2.56
5 1  2.57
5 2  2.58
5 3  2.57
5 4  2.58
5 5  2.58
5 6  2.57
5 7  2.58
5 8  2.58
5 9  2.57
5 10  2.58
5 11  2.58
5 12  2.57
5 13  2.57
5 14  2.58
5 15  2.57
5 16  2.58
5 17  2.57
5 18  2.58
5 19  2.57
5 20  2.58
5 21  2.57
5 22  2.57
5 23  2.58
5 24  2.57
5 25  2.57
5 26  2.58
6 1  2.60
6 2  2.61
6 3  2.60
6 4  2.59
6 5  2.60
6 6  2.60
6 7  2.61
6 8  2.61
6 9  2.60
6 10  2.60
6 11  2.61
6 12  2.59
6 13  2.60
6 14  2.61
6 15  2.61
6 16  2.60
6 17  2.60
6 18  2.60
6 19  2.60
6 20  2.62
6 21  2.60
6 22  2.60
6 23  2.62
6 24  2.60
6 25  2.61
6 26  2.61
7 1  2.63
7 2  2.65
7 3  2.64
7 4  2.64
7 5  2.63
7 6  2.63
7 7  2.63
7 8  2.63
7 9  2.64
7 10  2.63
7 11  2.64
7 12  2.63
7 13  2.63
7 14  2.63
7 15  2.64
7 16  2.64
7 17  2.65
7 18  2.63
7 19  2.63
7 20  2.63
7 21  2.63
7 22  2.64
7 23  2.64
7 24  2.63
7 25  2.63
7 26  2.64
8 1  2.67
8 2  2.67
8 3  2.67
8 4  2.70
8 5  2.67
8 6  2.67
8 7  2.67
8 8  2.66
8 9  2.67
8 10  2.67
8 11  2.66
8 12  2.67
8 13  2.66
8 14  2.68
8 15  2.67
8 16  2.68
8 17  2.66
8 18  2.67
8 19  2.67
8 20  2.67
8 21  2.72
8 22  2.67
8 23  2.69
8 24  2.67
8 25  2.67
8 26  2.67
9 1  2.71
9 2  2.71
9 3  2.70
9 4  2.71
9 5  2.70
9 6  2.70
9 7  2.71
9 8  2.70
9 9  2.73
9 10  2.70
9 11  2.71
9 12  2.71
9 13  2.70
9 14  2.70
9 15  2.71
9 16  2.71
9 17  2.70
9 18  2.71
9 19  2.72
9 20  2.71
9 21  2.71
9 22  2.71
9 23  2.70
9 24  2.70
9 25  2.71
9 26  2.71
