0 1 532.57
0 2 536.33
0 3 534.77
0 4 534.54
0 5 535.17
0 6 534.73
0 7 534.98
0 8 530.93
0 9 534.99
0 10 534.78
0 11 534.89
0 12 534.76
0 13 534.87
0 14 535.04
0 15 536.02
0 16 535.11
0 17 535.21
0 18 534.53
0 19 535.94
0 20 534.85
0 21 533.63
0 22 534.67
0 23 534.92
0 24 533.43
0 25 533.53
0 26 532.35


1 1 534.06
1 2 507.30
1 3 487.09
1 4 480.73
1 5 474.18
1 6 472.63
1 7 465.55
1 8 462.36
1 9 458.18
1 10 455.78
1 11 454.34
1 12 450.03
1 13 446.51
1 14 445.96
1 15 447.43
1 16 443.53
1 17 445.73
1 18 444.58
1 19 437.08
1 20 437.55
1 21 436.04
1 22 436.02
1 23 433.50
1 24 433.82
1 25 433.41
1 26 433.04


2 1 533.42
2 2 482.66
2 3 458.21
2 4 445.55
2 5 434.75
2 6 424.77
2 7 419.63
2 8 414.76
2 9 410.96
2 10 410.89
2 11 404.31
2 12 401.88
2 13 399.90
2 14 400.56
2 15 397.78
2 16 397.06
2 17 395.33
2 18 394.78
2 19 390.99
2 20 393.69
2 21 388.31
2 22 388.29
2 23 387.01
2 24 387.69
2 25 385.16
2 26 385.30


3 1 534.20
3 2 466.92
3 3 430.02
3 4 415.60
3 5 403.47
3 6 397.89
3 7 392.44
3 8 386.86
3 9 384.47
3 10 382.42
3 11 374.84
3 12 370.71
3 13 366.53
3 14 365.90
3 15 361.83
3 16 363.44
3 17 360.92
3 18 358.82
3 19 356.03
3 20 360.80
3 21 354.89
3 22 354.00
3 23 356.97
3 24 357.80
3 25 355.90
3 26 354.35


4 1 534.65
4 2 447.23
4 3 410.48
4 4 396.39
4 5 389.24
4 6 376.26
4 7 360.46
4 8 355.11
4 9 348.24
4 10 349.60
4 11 345.72
4 12 343.86
4 13 343.75
4 14 345.49
4 15 343.66
4 16 343.42
4 17 343.33
4 18 353.76
4 19 349.90
4 20 349.39
4 21 348.51
4 22 346.88
4 23 347.64
4 24 349.70
4 25 348.54
4 26 347.57


5 1 532.98
5 2 433.97
5 3 397.30
5 4 378.83
5 5 354.78
5 6 346.13
5 7 341.40
5 8 340.40
5 9 338.64
5 10 341.11
5 11 339.54
5 12 364.57
5 13 360.99
5 14 365.64
5 15 362.82
5 16 364.25
5 17 360.13
5 18 357.00
5 19 350.37
5 20 351.48
5 21 357.09
5 22 352.00
5 23 355.28
5 24 362.44
5 25 362.04
5 26 358.57


6 1 534.31
6 2 423.14
6 3 384.21
6 4 353.30
6 5 337.53
6 6 339.83
6 7 341.02
6 8 342.78
6 9 375.30
6 10 372.32
6 11 377.43
6 12 375.47
6 13 370.22
6 14 373.15
6 15 367.47
6 16 369.41
6 17 365.10
6 18 364.50
6 19 365.17
6 20 365.78
6 21 372.11
6 22 372.59
6 23 371.26
6 24 377.79
6 25 377.21
6 26 380.88


7 1 533.46
7 2 411.30
7 3 356.78
7 4 344.36
7 5 342.85
7 6 346.23
7 7 350.14
7 8 389.63
7 9 390.30
7 10 389.97
7 11 383.62
7 12 383.51
7 13 376.86
7 14 378.05
7 15 381.76
7 16 380.28
7 17 380.40
7 18 385.29
7 19 385.45
7 20 388.33
7 21 388.39
7 22 394.76
7 23 393.45
7 24 405.26
7 25 396.72
7 26 406.49


8 1 534.50
8 2 402.94
8 3 347.29
8 4 343.90
8 5 350.18
8 6 398.94
8 7 405.46
8 8 407.79
8 9 399.26
8 10 399.18
8 11 397.20
8 12 401.93
8 13 400.65
8 14 402.23
8 15 404.27
8 16 404.93
8 17 403.81
8 18 411.70
8 19 413.66
8 20 413.04
8 21 419.00
8 22 422.25
8 23 428.73
8 24 430.60
8 25 433.70
8 26 437.39


9 1 535.21
9 2 395.17
9 3 343.71
9 4 351.73
9 5 364.61
9 6 425.01
9 7 429.35
9 8 425.19
9 9 417.46
9 10 419.16
9 11 423.13
9 12 428.06
9 13 426.37
9 14 428.50
9 15 431.35
9 16 432.29
9 17 431.84
9 18 439.82
9 19 443.07
9 20 440.78
9 21 445.51
9 22 452.41
9 23 457.75
9 24 460.05
9 25 461.62
9 26 468.54


