0 1 79.26
0 2 79.05
0 3 79.04
0 4 78.93
0 5 78.84
0 6 79.01
0 7 79.11
0 8 79.10
0 9 78.96
0 10 79.05
0 11 78.93
0 12 79.11
0 13 78.92
0 14 79.08
0 15 79.04
0 16 78.66
0 17 79.29
0 18 79.20
0 19 79.13
0 20 79.03
0 21 79.12
0 22 79.05
0 23 78.91
0 24 79.23
0 25 79.23
0 26 79.41


1 1 77.86
1 2 76.96
1 3 74.91
1 4 73.46
1 5 72.50
1 6 71.63
1 7 71.27
1 8 70.85
1 9 69.10
1 10 70.22
1 11 69.48
1 12 69.35
1 13 68.83
1 14 68.72
1 15 68.12
1 16 68.20
1 17 68.11
1 18 68.09
1 19 67.85
1 20 67.64
1 21 67.22
1 22 67.14
1 23 66.70
1 24 66.76
1 25 66.74
1 26 66.54


2 1 79.09
2 2 73.46
2 3 70.43
2 4 68.41
2 5 66.73
2 6 65.81
2 7 64.96
2 8 64.10
2 9 63.43
2 10 63.63
2 11 62.52
2 12 62.47
2 13 61.90
2 14 61.95
2 15 61.03
2 16 61.01
2 17 61.01
2 18 60.46
2 19 60.46
2 20 60.38
2 21 60.20
2 22 59.96
2 23 59.67
2 24 59.84
2 25 59.48
2 26 59.59


3 1 79.32
3 2 71.47
3 3 66.67
3 4 64.37
3 5 62.35
3 6 61.06
3 7 60.09
3 8 58.57
3 9 57.93
3 10 58.34
3 11 56.69
3 12 56.19
3 13 56.23
3 14 56.34
3 15 55.55
3 16 55.62
3 17 55.49
3 18 55.26
3 19 55.44
3 20 55.34
3 21 55.93
3 22 55.84
3 23 55.78
3 24 56.10
3 25 55.85
3 26 56.00


4 1 78.48
4 2 68.88
4 3 63.54
4 4 60.79
4 5 58.04
4 6 55.88
4 7 55.07
4 8 54.65
4 9 54.00
4 10 54.43
4 11 54.23
4 12 56.26
4 13 56.84
4 14 56.60
4 15 56.15
4 16 56.23
4 17 56.35
4 18 56.29
4 19 55.85
4 20 56.35
4 21 55.62
4 22 56.36
4 23 56.52
4 24 56.13
4 25 56.49
4 26 56.25


5 1 78.93
5 2 66.74
5 3 60.47
5 4 56.80
5 5 54.71
5 6 54.45
5 7 54.34
5 8 54.52
5 9 56.75
5 10 57.14
5 11 57.58
5 12 57.42
5 13 57.94
5 14 57.82
5 15 56.76
5 16 58.37
5 17 57.73
5 18 58.43
5 19 57.86
5 20 57.72
5 21 57.99
5 22 57.61
5 23 58.44
5 24 57.95
5 25 57.60
5 26 58.30


6 1 79.14
6 2 64.61
6 3 56.54
6 4 54.58
6 5 54.67
6 6 55.00
6 7 58.98
6 8 58.93
6 9 59.63
6 10 59.74
6 11 59.93
6 12 60.09
6 13 60.07
6 14 60.52
6 15 60.73
6 16 61.19
6 17 61.02
6 18 61.03
6 19 60.56
6 20 61.33
6 21 61.41
6 22 60.27
6 23 62.31
6 24 61.74
6 25 61.04
6 26 62.44


7 1 79.29
7 2 62.72
7 3 54.47
7 4 54.92
7 5 55.98
7 6 57.73
7 7 61.48
7 8 61.55
7 9 62.34
7 10 62.08
7 11 62.83
7 12 62.95
7 13 63.44
7 14 63.41
7 15 63.04
7 16 63.68
7 17 63.94
7 18 63.83
7 19 63.45
7 20 63.51
7 21 63.99
7 22 64.06
7 23 64.76
7 24 64.98
7 25 63.53
7 26 64.33


8 1 79.06
8 2 60.81
8 3 56.85
8 4 56.54
8 5 58.33
8 6 63.32
8 7 64.24
8 8 64.64
8 9 65.60
8 10 65.03
8 11 65.56
8 12 65.14
8 13 65.42
8 14 66.21
8 15 66.00
8 16 65.84
8 17 66.09
8 18 66.40
8 19 66.60
8 20 66.84
8 21 67.69
8 22 67.40
8 23 67.21
8 24 68.64
8 25 68.63
8 26 68.53


9 1 79.21
9 2 59.62
9 3 56.67
9 4 58.71
9 5 61.94
9 6 66.68
9 7 67.55
9 8 68.11
9 9 69.18
9 10 68.71
9 11 68.92
9 12 69.70
9 13 69.01
9 14 69.46
9 15 69.88
9 16 69.78
9 17 70.17
9 18 70.64
9 19 70.90
9 20 70.89
9 21 72.82
9 22 72.14
9 23 72.16
9 24 73.13
9 25 72.90
9 26 73.36


